20220924	20:19:39	07a37cfc-abe5-4f83-90a3-8324562815ec	POST	undefined	/register
20220924	20:20:02	c44b3632-2c23-486a-a30d-7d0345dd5666	POST	undefined	/auth
20220924	20:21:09	dbf39416-0444-4791-800a-aedf19461ce8	GET	undefined	/refresh
20220924	20:23:22	cb844810-aaf6-4b40-865b-11cfb87e9a43	POST	undefined	/auth
20220924	20:23:28	48b067ff-805e-466c-b13d-31edb0a15dc9	GET	undefined	/refresh
20220924	20:24:10	1ef05ab5-3d92-409f-8310-8489557e4c34	POST	undefined	/auth
20220924	20:24:23	9bfafd1a-484a-4a8c-b274-de54d564abfb	GET	undefined	/logout
20220924	23:24:12	f8213628-27b2-4a4e-bf83-7568c8f9231f	POST	undefined	/auth
20220924	23:24:28	d60ec242-cb3b-4175-9e64-e90bad1421ec	GET	undefined	/employees
20220924	23:24:41	037c5931-77d3-4f9f-9a37-37d9579e6b4e	POST	undefined	/auth
20220924	23:24:58	b1cbe3a0-ffab-4220-bcc2-85a9915a640e	GET	undefined	/employees
20220924	23:28:13	c2982a15-c792-4185-ad5c-f7debd837816	POST	undefined	/auth
20220924	23:28:46	379e2217-28f8-463a-9dd2-2d37a1889964	POST	undefined	/employees
20220924	23:29:02	c326a006-4918-44d2-af11-3c6884bd65e9	POST	undefined	/auth
20220924	23:29:12	a3e0a4b3-fc8b-4801-9c85-f71494192728	POST	undefined	/auth
20220924	23:29:29	915d5cb1-d206-492b-b4c6-afa50646ec9f	POST	undefined	/employees
20220924	23:33:06	83f0043b-9296-40fd-a55f-dc396bf714e5	POST	undefined	/auth
20220924	23:33:23	8c13b98e-371a-499d-9ce6-1f36318abd6e	POST	undefined	/employees
20220924	23:33:42	67467241-ace3-410c-a69c-f12cc64c77eb	POST	undefined	/auth
20220924	23:34:00	9caabd18-585f-429c-a875-f4a3c9d82ae9	GET	undefined	/employees
20220924	23:35:17	4db486c0-c9f7-4ef1-83ee-1045326e2d2f	POST	undefined	/auth
20220924	23:35:33	df2c42f0-fb5d-485f-bdab-233da6843e42	GET	undefined	/employees/632f23433bb4f85323dcecf7
20220924	23:37:02	ae7a18ae-d8c7-47a3-8b5e-610ca9fdeb9b	POST	undefined	/auth
20220924	23:37:23	ef3009e3-eebf-450a-ad3d-087fd8f6d945	POST	undefined	/employees
20220924	23:40:11	81e6bbd1-f407-4414-94ca-fe7c9b631868	POST	undefined	/auth
20220924	23:40:22	f488bf9f-2759-4873-9bdc-25b4e20f9677	PUT	undefined	/employees
20220924	23:41:43	7084225b-4191-4454-9263-165663394447	POST	undefined	/auth
20220924	23:41:56	ef56f148-183f-4c3e-bd47-2d3de8e49ec8	DELETE	undefined	/employees
20220924	23:46:36	15540b12-512e-497b-9a3c-a22ecada714a	POST	undefined	/auth
20220924	23:46:51	636000aa-9930-4bdb-bf4c-332e807729fd	DELETE	undefined	/employees
20220924	23:54:53	7325fae0-2ecb-4da1-9b76-5a666b0e41a7	POST	undefined	/auth
20220924	23:54:53	80fea4d7-7505-4ec4-b00e-12991ca2154c	POST	undefined	/auth
20220924	23:55:08	0d62ce6a-36ae-4b48-aeec-c226a0ddda77	DELETE	undefined	/employees
20220924	23:56:38	1f1cf8cc-54b4-44c9-937a-792e259187a2	POST	undefined	/auth
20220924	23:56:49	1e0d087c-5e34-4f21-b43d-8c9988174fe8	DELETE	undefined	/employees
20220925	00:00:49	967d2f83-9900-4e8d-bd7e-c852907c37ba	DELETE	undefined	/employees
20220925	00:01:04	2318b2e1-0972-4932-b660-998fc1a114ab	POST	undefined	/auth
20220925	00:01:19	0280e885-1978-4f5d-b016-cc8f34956502	DELETE	undefined	/employees
20220925	00:05:09	78ce0f1d-6453-45d7-89e4-e62d0cd6b3c7	POST	undefined	/auth
20220925	00:05:22	b253741b-a7f5-4c1c-a141-017303605081	POST	undefined	/employees
20220925	00:06:09	5038fabc-60dc-4342-b6f4-a47911cdf31a	POST	undefined	/auth
20220925	00:06:24	41e3b7e7-0918-446f-9f77-5d1a425aa6de	DELETE	undefined	/employees
